gene_id,EC
PAS_FragB_0008,3.1.4.17
PAS_FragB_0019,1.3.1.88
PAS_FragB_0020,3.4.17.21
PAS_chr3_0815,3.4.17.21
PAS_FragB_0022,5.3.3.21
PAS_FragB_0025,1.14.11.18
PAS_chr3_0309,5.6.2.-
PAS_chr3_0346,5.6.2.-
PAS_FragD_0018,5.6.2.-
PAS_chr3_0224,5.6.2.-
PAS_chr4_0143,5.6.2.-
PAS_chr4_0241,5.6.2.-
PAS_FragB_0039,5.6.2.-
PAS_FragB_0040,2.3.1.50
PAS_chr3_0733,2.3.1.50
PAS_FragB_0053,1.4.4.2
PAS_FragB_0055,2.3.2.25
PAS_chr4_0475,5.6.2.4
PAS_chr3_0219,5.6.2.4
PAS_chr1-4_0175,5.6.2.4
PAS_FragB_0056,5.6.2.4
PAS_FragB_0057,3.1.13.1
PAS_chr4_0382,3.1.-.-
PAS_chr3_0681,3.1.-.-
PAS_chr3_0423,3.1.-.-
PAS_chr4_0607,3.1.-.-
SLX1 PAS_chr1-3_0243,3.1.-.-
PAS_chr4_0987,3.1.-.-
PAS_chr4_0279,3.1.-.-
PAS_FragB_0059,3.1.-.-
PAS_chr3_0202,3.1.-.-
LCL3 PAS_chr1-1_0068,3.1.-.-
EXO5 DEM1 PAS_chr4_0382,3.1.-.-
PAS_chr2-1_0730,3.1.-.-
PAS_chr2-1_0699,3.1.-.-
FEN1 PAS_chr1-4_0633,3.1.-.-
PAS_FragB_0061,4.1.1.49
PAS_FragB_0064,2.7.1.105
PAS_FragD_0019,7.2.2.-
PAS_chr3_0368,7.2.2.-
PAS_c121_0002,2.4.1.132 2.4.1.257
PAS_chr3_0063,2.3.2.27
PAS_chr3_0521,2.3.2.27
PAS_chr4_0521,2.3.2.27
PAS_c121_0007,2.3.2.27
PAS_chr1-3_0306,2.3.2.27
PAS_chr4_0764,2.3.2.27
PAS_chr3_0538,2.3.2.27
PAS_chr3_0061,2.3.2.27
PAS_chr3_1152,2.3.2.27
PAS_chr1-3_0150,2.3.2.27
PAS_chr4_0997,2.3.2.27
PAS_chr2-1_0398,2.3.2.27
PAS_chr3_0209,2.3.2.27
PAS_chr4_0440,2.3.2.27
PAS_chr4_0637,2.3.2.27
PAS_chr4_0444,2.3.2.27
PAS_chr4_0172,2.3.2.27
PAS_chr1-3_0144,2.3.2.27
PAS_chr2-1_0274,2.3.2.27
PAS_chr4_0156,2.3.2.27
PAS_c121_0009,3.5.4.6
PAS_chr2-1_0829,2.3.1.225
PAS_chr3_0246,2.3.1.225
PAS_chr2-1_0056,2.3.1.225
PAS_c121_0010,2.3.1.225
PFA4 PAS_chr3_0246,2.3.1.225
PAS_chr1-4_0126,2.3.1.225
PAS_chr1-3_0264,5.2.1.8
PAS_chr3_0567,5.2.1.8
PAS_chr2-2_0375,5.2.1.8
PAS_chr2-2_0476,5.2.1.8
PAS_chr2-2_0381,5.2.1.8
PAS_chr2-2_0484,5.2.1.8
PAS_chr1-3_0129,5.2.1.8
PAS_chr1-1_0267,5.2.1.8
PAS_chr4_0085,5.2.1.8
PAS_chr3_0378,5.2.1.8
PAS_chr4_0545,5.2.1.8
PAS_c131_0001,5.2.1.8
PAS_chr3_0148,2.7.11.1
PAS_chr3_0347,2.7.11.1
PAS_chr3_0850,2.7.11.1
PAS_chr2-2_0332,2.7.11.1
PAS_chr3_0549,2.7.11.1
PAS_chr3_0893,2.7.11.1
PAS_chr3_0042,2.7.11.1
PAS_chr1-4_0662,2.7.11.1
PAS_chr2-2_0297,2.7.11.1
