Gene_id,B_10_fpkm,G_3_fpkm,GM_2_fpkm,M_12_fpkm,M_24_fpkm,M_36_fpkm,M_48_fpkm,M_60_fpkm,M_72_fpkm,M_84_fpkm,M_96_fpkm,M_108_fpkm,M_120_fpkm,gene_chr,gene_start,gene_end,gene_strand,gene_length
novel.27,1835.795902,1983.556391,3144.29998,1642.756592,1795.768486,2314.138387,2304.714308,2888.124839,2258.601147,2271.60587,2579.875362,2542.736171,2945.897335,3,1879891,1880326,+,436
novel.12,212.9327697,717.7436075,734.3958482,567.8067431,594.4854135,800.5590065,848.710365,894.3418439,1121.208507,900.7676337,1310.30298,1039.849495,1600.673409,2,720190,721759,+,1570
novel.34,289.8600768,465.3817826,790.2435344,643.6036488,727.7496908,708.9674598,557.6490692,653.1475301,546.161809,611.5318335,583.2595083,502.9536474,707.8757677,3,2148400,2148849,-,450
novel.25,46.84669938,219.0512344,22.13194578,24.58300931,95.0213446,128.4948091,107.7936435,242.8934167,307.8824004,297.0899667,340.8810859,339.771403,513.7755886,3,1059449,1060888,+,1382
novel.19,67.91214815,92.50954055,117.5292399,125.3593383,227.3548921,268.3574407,219.4636311,257.0628085,225.0263647,236.5184261,245.488423,255.1626619,269.633791,2,1499125,1499923,-,799
novel.33,66.22305283,96.26773741,103.1535556,153.0445235,122.939201,117.2844863,136.2548348,105.1342755,121.4716052,144.8822456,157.1314882,118.7256395,125.8840625,3,2123051,2123496,-,446
novel.39,112.9327182,89.35700757,86.95268347,98.55011094,99.6189719,95.82477804,97.16517865,110.7371991,108.6644704,104.6365455,102.7558828,100.2240539,118.581023,4,1709126,1712684,+,3559
novel.14,34.40224476,31.32424528,55.65426231,81.40071622,95.52709269,94.11698202,68.18664867,83.16603201,77.41655569,70.70868293,86.20047399,97.64167608,128.8747969,2,177486,178271,-,786
novel.10,66.37735681,63.81176675,42.99046426,59.96682506,71.70780978,68.30424198,62.67256144,61.06043285,64.98222579,68.63725304,69.8715803,71.18393798,75.23622202,1,2443642,2445508,-,1867
novel.31,42.11695007,39.72784421,52.22101175,67.86930183,53.52220615,53.83112688,60.13995706,51.1688259,56.87274118,53.64385971,59.07872153,56.56265974,53.2872511,3,476519,480919,-,4401
novel.29,40.77435227,48.5346312,49.58468676,33.85296735,64.25485696,64.37864832,67.62658651,55.31368056,50.90588749,64.19614402,50.32052252,58.53531941,36.00473669,3,255528,261851,-,6324
novel.42,25.83872435,30.92730001,19.36837118,34.97064034,44.27403733,57.57187832,57.96001967,57.30645098,60.46272552,54.32952796,64.06385808,53.12806502,67.52513809,4,76275,78144,-,1870
novel.9,17.11438162,26.04261461,36.71025041,51.59507744,38.72071726,43.38170226,45.97801938,53.75550362,44.25096764,58.07390468,59.84194682,57.38436749,65.30998839,1,2330981,2332442,-,1462
novel.4,15.70746366,18.04356884,89.48375947,39.04327504,43.31269215,50.43703622,41.75448217,48.33632487,47.95555565,42.76218297,47.16527215,44.63079178,59.74610548,1,21854,24467,-,2614
novel.8,10.4698623,19.27962364,195.736243,41.22603077,27.69861399,26.44140749,29.16123559,25.856359,31.45467984,29.24436623,30.71691595,29.74588153,28.16224017,1,376434,376771,-,338
novel.45,22.31327797,28.05095757,20.55169077,49.69652874,38.71827079,40.56394971,41.26552515,33.96495923,43.04055951,41.17425154,44.16518644,40.1335126,39.01544332,4,1582403,1584845,-,2443
novel.21,24.18369076,28.55276553,33.42270267,40.77140021,37.3018848,38.43350378,41.98398024,34.37987452,38.58677896,38.18638518,37.06280774,37.83892264,33.21258148,2,1713142,1713822,-,681
novel.11,13.58324081,18.9551145,19.03789883,35.3996649,32.94610285,41.08950555,42.62543114,46.75599026,39.9928533,44.47338376,38.90240581,44.33028199,40.75319644,1,2786824,2787810,-,987
novel.17,18.92754795,25.0171904,17.31302778,42.32343573,31.82474572,33.32672778,35.44443655,35.37300183,38.80061172,36.50560943,38.22512762,38.32352878,36.23967325,2,553731,554690,-,960
novel.44,7.802094209,11.12692574,21.89082637,38.67390064,34.80553868,34.26644203,33.85973779,29.36380095,30.65548447,37.35368008,35.58756972,34.64636274,50.07358181,4,1318570,1319072,-,503
novel.26,45.2445334,31.43508686,26.38780747,21.51737422,27.37063529,27.97395318,26.06413296,34.73412616,26.90952056,30.17815783,29.31419946,28.90171706,36.09074419,3,1779681,1780225,+,545
novel.43,21.03533666,20.57224743,23.23799099,28.24417094,28.68915245,33.77991339,30.54590021,33.60261017,31.15373535,30.20009174,30.59502507,34.09170859,39.87704194,4,186331,194037,-,7647
novel.18,1.189117426,1.112502997,31.04244496,31.29231515,24.22325698,28.99622158,24.62078763,17.03469622,29.56792077,32.88496887,43.48822545,38.8140219,49.50651294,2,1493957,1494452,-,496
novel.7,5.308432526,6.927750626,14.116915,31.74686464,25.80306661,27.41650784,28.83140882,23.04210901,24.40860325,29.01449148,26.25041297,30.1501244,29.76566787,1,254094,254734,-,641
novel.5,23.33906805,22.55860341,23.62308735,17.71932121,21.51918511,20.68413224,18.11856182,18.8266188,19.93802844,19.52501665,18.13413988,18.51641779,17.7037597,1,171504,172231,-,728
novel.46,13.90692387,15.15441392,17.05772917,17.12310016,18.26237745,20.5393607,19.90963756,20.23701543,19.74618147,21.69054071,20.7381412,22.41160865,22.83061604,4,1700652,1704313,-,3662
novel.47,9.943460895,16.02851936,14.61989012,17.59045342,18.1521328,16.83547375,13.77010698,18.75810467,14.8290597,18.33506289,14.84253736,14.95703714,15.79453072,4,1777697,1778296,-,600
novel.32,12.46995296,9.142909617,11.33952696,16.53958469,13.32233141,19.65401293,18.11856182,19.33047533,14.88197338,13.93362865,12.82349168,13.71905569,14.77850827,3,558361,558702,-,342
novel.24,18.32923894,20.60058882,33.97970251,6.208395326,9.112474688,9.312708158,10.00144612,14.31850741,9.048239817,11.1099589,9.666295688,9.979633082,10.10849966,2,2304333,2304582,-,250
