gene_id,EC,Gene_id,B_10_fpkm,G_3_fpkm,GM_2_fpkm,M_12_fpkm,M_24_fpkm,M_36_fpkm,M_48_fpkm,M_60_fpkm,M_72_fpkm,M_84_fpkm,M_96_fpkm,M_108_fpkm,M_120_fpkm,gene_chr,gene_start,gene_end,gene_strand,gene_length
PAS_FragB_0008,3.1.4.17,PAS_FragB_0008,23.07558481,30.28873846,43.91864919,41.76638831,42.3511753,37.77436344,37.87349998,39.41531068,34.81126133,34.25224417,32.67940131,33.85221534,28.20429569,,,,,
PAS_FragB_0019,1.3.1.88,PAS_FragB_0019,39.6611614,27.49991067,51.56189318,25.92467184,28.93796101,26.26132651,24.51334834,30.66806259,26.55086711,29.27701267,25.41029526,29.3883693,31.76111514,,,,,
PAS_FragB_0020,3.4.17.21,PAS_FragB_0020,18.28289578,23.42189735,23.68060216,37.18027181,33.80427985,34.80439303,34.99906159,28.64684628,32.54869448,33.24170924,29.99106196,29.73449296,25.64391613,,,,,
PAS_chr3_0815,3.4.17.21,PAS_chr3_0815,170.7976882,182.5871312,269.5797316,414.6604039,488.1674012,475.156744,505.2321731,383.1942069,434.1681223,450.4844397,519.8768484,476.5563435,501.3419576,,,,,
PAS_FragB_0022,5.3.3.21,PAS_FragB_0022,29.13834694,28.07292869,137.0949403,53.35800352,49.53508745,67.94986751,72.03179154,50.47994835,46.86155949,47.74444259,52.07332672,44.78495155,47.15859883,,,,,
PAS_FragB_0025,1.14.11.18,PAS_FragB_0025,42.18168381,47.88691185,75.23686144,100.7305003,70.91287715,79.07031797,84.8690804,77.77673605,89.9402923,88.63192893,90.81895459,92.97190121,96.07479251,,,,,
PAS_chr3_0309,5.6.2.-,PAS_chr3_0309,15.30027218,17.60727511,24.94292728,29.39064649,22.72376808,22.77998756,22.70789007,21.89273146,21.8956511,22.10052447,22.38660476,23.22569269,21.3985443,,,,,
PAS_chr3_0346,5.6.2.-,PAS_chr3_0346,11.32180309,11.7021393,13.08234828,12.53842588,12.45645922,11.8934944,11.46633622,12.48281331,12.2938041,12.15168198,12.94438751,12.2888039,11.11466976,,,,,
PAS_FragD_0018,5.6.2.-,PAS_FragD_0018,28.79811419,33.63892274,35.96446335,32.20561526,31.70515788,33.57612114,35.40989233,34.30760761,37.19831925,34.04061481,35.78301378,35.87582555,36.1370354,,,,,
PAS_chr3_0224,5.6.2.-,PAS_chr3_0224,25.91121068,37.14379719,15.45355677,24.6658535,30.5127873,27.37645217,29.34098449,28.44359835,28.93855007,34.69509121,29.6208902,30.13613783,24.4479506,,,,,
